cow_id,cow_health_status,conditions,candidate_videos,selected_videos,candidate_healthy_context_videos,candidate_unhealthy_context_videos,selected_healthy_context_videos,selected_unhealthy_context_videos,datasets,selected_video_paths
255,Unhealthy,lame; lameness,36,10,0,36,0,10,Truro Cow Video Data; Yashan Dhaliwal RAC Data 2025,"unhealthy cows before going out/oct 29/255-lameness.mov | 10 March 2025/During exercise/255/Video 2025-03-10, 6 58 02 AM.mov | unhealthy cows before going out/Nov 10/255- lameness.mov | 6 March 2025/After Exercise/255/Video 2025-03-06, 7 36 58 AM.mov | 7 March 2025/Before Exercise/255/Video 2025-03-07, 6 15 14 AM.mov | 24 Feb 2025/After Exercise/255/Video 2025-02-24, 10 23 45 AM.mov | 6 March 2025/During Exercise/255/Video 2025-03-06, 6 50 27 AM.mov | 27 Feb 2025/During Exercise/255/Video 2025-02-27, 3 06 39 PM.mov | 26 March 2025/255/Video 2025-03-26, 8 36 20 AM.mov | 28 Feb 2025/After Exercise/255/Video 2025-02-28, 9 47 37 AM.mov"
310,Unhealthy,possible mastitis,37,11,0,37,0,11,Yashan Dhaliwal RAC Data 2025,"28 Feb 2025/After Exercise/310/Video 2025-02-28, 9 59 51 AM.mov | 24 Feb 2025/Before Exercise/310/Video 2025-02-24, 8 58 07 AM.mov | 17 March 2025/Before exercise/310/Video 2025-03-17, 7 06 35 AM.mov | 27 Feb 2025/Before Exercise/310/Video 2025-02-27, 2 45 31 PM.mov | 19 Feb 2025/During Exercise/310/Video 2025-02-19, 9 27 32 AM.mov | 19 Feb 2025/After Exercise/310/Video 2025-02-19, 10 04 02 AM.mov | March 19 2025/After exercise/310/Video 2025-03-19, 8 02 23 AM.mov | 6 March 2025/After Exercise/310/Video 2025-03-06, 7 50 46 AM.mov | 17 March 2025/After exercise/310/Video 2025-03-17, 8 49 13 AM.mov | March 19 2025/During exercise/310/Video 2025-03-19, 7 28 29 AM.mov | 10 March 2025/After exercise/310/Video 2025-03-10, 7 35 13 AM.mov"
323,Unhealthy,lameness,8,8,0,8,0,8,Truro Cow Video Data,unhealthy cows before going out/Nov 7/323-lameness.mov | unhealthy cows after exercise/Nov 7/323-lameness.mov | unhealthy cows before going out/Nov 10/323- lameness.mov | unhealthy cows after exercise/Nov 28/323-lameness.mov | unhealthy cows after exercise/Nov 5/323-lameness.mov | unhealthy cows before going out/Nov 5/323- lameness.mov | unhealthy cows after exercise/Nov 10/323-lameness.mov | unhealthy cows before going out/Nov 28/323-lameness.mov
349,Unhealthy,sudden fall,4,4,0,4,0,4,Cow 349 - Unhealthy (sudden fall),"Video 2025-03-28, 2 35 10 PM.mov | Video 2025-03-28, 2 47 34 PM.mov | Video 2025-03-28, 2 31 06 PM.mov | Video 2025-03-28, 2 39 08 PM.mov"
352,Healthy,healthy folder,2,2,2,0,2,0,Truro Cow Video Data,healthy cows before going out/Nov 28/352.mov | healthy cows after exercise/Nov 28/352.mov
354,Unhealthy,lame,30,10,0,30,0,10,Yashan Dhaliwal RAC Data 2025,"24 Feb 2025/During Exercise/354/Video 2025-02-24, 9 41 39 AM.mov | March 19 2025/After exercise/354/Video 2025-03-19, 8 04 47 AM.mov | 26 March 2025/After exercise/354/Video 2025-03-26, 8 32 59 AM.mov | 21 Feb 2025/During Exercise/354/Video 2025-02-21, 9 23 37 AM.mov | 6 March 2025/Before Exercise/354/Video 2025-03-06, 6 35 48 AM.mov | 27 Feb 2025/After Exercise/354/Video 2025-02-27, 3 46 49 PM.mov | 10 March 2025/Before exercise/354/Video 2025-03-10, 6 46 55 AM.mov | 10 March 2025/After exercise/354/Video 2025-03-10, 7 39 22 AM.mov | 27 Feb 2025/Before Exercise/354/Video 2025-02-27, 2 49 57 PM.mov | 12 March 2025/After exercise/354/Video 2025-03-12, 8 17 08 AM.mov"
355,Healthy,healthy folder,6,6,6,0,6,0,Truro Cow Video Data,healthy cows before going out/Sep 8/355.mov | healthy cows before going out/Sep 4/355.mov | healthy cows before going out/Sep 5/355.mov | healthy cows after exercise/Sep 4/355.mov | healthy cows after exercise/Sep 5/355.mov | healthy cows after exercise/Sep 8/355.mov
363,Unhealthy,lameness,2,2,0,2,0,2,Truro Cow Video Data,unhealthy cows after exercise/Nov 28/363-lameness.mov | unhealthy cows before going out/Nov 28/363-lameness.mov
370,Healthy,healthy,30,10,30,0,10,0,Yashan Dhaliwal RAC Data 2025,"10 March 2025/Before exercise/370/Video 2025-03-10, 6 25 31 AM.mov | 27 Feb 2025/During Exercise/370/Video 2025-02-27, 3 22 44 PM.mov | 7 March 2025/After Exercise/370/Video 2025-03-07, 7 32 51 AM.mov | March 19 2025/During exercise/370/Video 2025-03-19, 7 25 11 AM.mov | 10 March 2025/After exercise/370/Video 2025-03-10, 7 43 41 AM.mov | 7 March 2025/During Exercise/370/Video 2025-03-07, 7 05 16 AM.mov | 28 Feb 2025/After Exercise/370/Video 2025-02-28, 9 45 01 AM.mov | 10 March 2025/During exercise/370/Video 2025-03-10, 7 00 12 AM.mov | 12 March 2025/After exercise/370/Video 2025-03-12, 8 04 58 AM.mov | 17 March 2025/Before exercise/370/Video 2025-03-17, 6 53 55 AM.mov"
374,Healthy,healthy folder,10,10,10,0,10,0,Truro Cow Video Data,healthy cows before going out/Nov 10/374.mov | healthy cows before going out/Nov 7/374.mov | healthy cows after exercise/Nov 7/374.mov | healthy cows before going out/Oct 29/374.mov | healthy cows before going out/Nov 5/374.mov | healthy cows before going out/Nov 28/374.mov | healthy cows after exercise/Nov 10/374.mov | healthy cows after exercise/Oct 29/374.mov | healthy cows after exercise/Nov 5/374.mov | healthy cows after exercise/Nov 28/374.mov
378,Unhealthy,healthy; mastitis,42,10,38,4,10,0,Truro Cow Video Data; Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/378/Video 2025-03-12, 8 08 18 AM.mov | 7 March 2025/Before Exercise/378/Video 2025-03-07, 6 21 02 AM.mov | 20 Feb 2025/During Exercise/378/Video 2025-02-20, 9 29 50 AM.mov | 6 March 2025/During Exercise/378/Video 2025-03-06, 7 10 01 AM.mov | 10 March 2025/During exercise/378/Video 2025-03-10, 7 01 58 AM.mov | 21 Feb 2025/After Exercise/378/Video 2025-02-21, 10 06 18 AM.mov | 24 Feb 2025/After Exercise/378/Video 2025-02-24, 10 28 03 AM.mov | March 24 2025/After exercise/378/Video 2025-03-24, 7 55 45 AM.mov | 19 Feb 2025/After Exercise/378/Video 2025-02-19, 9 46 39 AM.mov | March 19 2025/Before Exercise/378/Video 2025-03-19, 7 05 02 AM.mov"
387,Healthy,healthy folder,9,9,9,0,9,0,Truro Cow Video Data,healthy cows before going out/Sep 29/387.mov | healthy cows before going out/Sep 26/387.mov | healthy cows before going out/Oct 1/387.mov | healthy cows after exercise/Sep 29/387.mov | healthy cows after exercise/Sep 26/387.mov | healthy cows before going out/Oct 6/387.mov | healthy cows after exercise/Oct 6/387.mov | healthy cows after exercise/Oct 1/387.mov | healthy cows before going out/Sep 25/387.mov
394,Unhealthy,lameness,19,11,0,19,0,11,Truro Cow Video Data,unhealthy cows before going out/Sep 29/394-lameness.mov | unhealthy cows before going out/Sep 26/394-lameness.mov | unhealthy cows after exercise/Sep 26/394-lameness.mov | unhealthy cows after exercise/Nov 10/394-lameness.mov | unhealthy cows after exercise/Nov 5/394-lameness.mov | unhealthy cows before going out/Nov 28/394-lameness.mov | unhealthy cows after exercise/Oct 1/394-lameness.mov | unhealthy cows before going out/Oct 6/394-lameness.mov | unhealthy cows before going out/oct 29/394-lameness.mov | unhealthy cows after exercise/Sep 29/394-lameness.mov | unhealthy cows before going out/Nov 10/394- lameness.mov
402,Healthy,healthy folder,19,11,19,0,11,0,Truro Cow Video Data,healthy cows after exercise/Nov 7/402.mov | healthy cows before going out/Oct 29/402.mov | healthy cows before going out/Nov 10/402.mov | healthy cows after exercise/Oct 29/402.mov | healthy cows before going out/Sep 26/402.mov | healthy cows after exercise/Nov 5/402.mov | healthy cows before going out/Oct 1/402.mov | healthy cows before going out/Nov 5/402.mov | healthy cows before going out/Nov 7/402.mov | healthy cows before going out/Sep 25/402.mov | healthy cows after exercise/Nov 28/402.mov
403,Unhealthy,lameness,15,11,0,15,0,11,Truro Cow Video Data,unhealthy cows before going out/Oct 1/403-lameness.mov | unhealthy cows before going out/Sep 8/403- lameness.mov | unhealthy cows after exercise/Sep 5/403- lameness.mov | unhealthy cows after exercise/Sep 29/403-lameness .mov | unhealthy cows after exercise/Oct 6/403-lameness.mov | unhealthy cows before going out/Oct 6/403-lameness.mov | unhealthy cows before going out/Sep 4/403-lameness.mov | unhealthy cows after exercise/Oct 1/403-lameness.mov | unhealthy cows after exercise/Sep 8/403- lameness.mov | unhealthy cows after exercise/Sep 4/403- lameness.mov | unhealthy cows before going out/Sep 5/403- lameness.mov
404,Healthy,healthy folder,19,10,19,0,10,0,Truro Cow Video Data,healthy cows after exercise/Oct 6/404.mov | healthy cows after exercise/Oct 1/404.mov | healthy cows before going out/Nov 10/404.mov | healthy cows after exercise/Sep 26/404.mov | healthy cows before going out/Nov 28/404.mov | healthy cows before going out/Oct 29/404.mov | healthy cows before going out/Oct 6/404.mov | healthy cows before going out/Nov 7/404.mov | healthy cows before going out/Sep 29/404.mov | healthy cows after exercise/Oct 29/404.mov
405,Healthy,healthy folder,5,5,5,0,5,0,Truro Cow Video Data,healthy cows after exercise/Sep 8/405.mov | healthy cows before going out/Sep 8/405.mov | healthy cows after exercise/Sep 4/405.mov | healthy cows after exercise/Sep 5/405.mov | healthy cows before going out/Sep 5/405.mov
406,Healthy,healthy folder,8,8,8,0,8,0,Truro Cow Video Data,healthy cows before going out/Sep 8/406.mov | healthy cows after exercise/Sep 5/406.mov | healthy cows after exercise/Nov 28/406.mov | healthy cows after exercise/Sep 4/406.mov | healthy cows after exercise/Sep 8/406.mov | healthy cows before going out/Nov 28/406.mov | healthy cows before going out/Sep 5/406.mov | healthy cows before going out/Sep 4/406.mov
408,Healthy,healthy folder,6,6,6,0,6,0,Truro Cow Video Data,healthy cows before going out/Sep 4/408.mov | healthy cows before going out/Sep 5/408.mov | healthy cows after exercise/Sep 4/408.mov | healthy cows after exercise/Sep 5/408.mov | healthy cows before going out/Sep 8/408.mov | healthy cows after exercise/Sep 8/408.mov
415,Unhealthy,lameness,6,6,0,6,0,6,Truro Cow Video Data,unhealthy cows after exercise/Sep 5/415 - lameness.mov | unhealthy cows after exercise/Sep 4/415 - lameness.mov | unhealthy cows after exercise/Sep 8/415 - lameness.mov | unhealthy cows before going out/Sep 5/415 - lameness.mov | unhealthy cows before going out/Sep 8/415 - lameness.mov | unhealthy cows before going out/Sep 4/415 - lameness.mov
417,Unhealthy,fresh cows; healthy,46,10,40,6,8,2,Truro Cow Video Data; Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/417/Video 2025-03-12, 8 10 02 AM.mov | March 24 2025/After exercise/417/Video 2025-03-24, 7 58 46 AM.mov | unhealthy cows after exercise/Sep 8/417- fresh cows .mov | 20 Feb 2025/Before Exercise/417/Video 2025-02-20, 8 47 36 AM.mov | 21 Feb 2025/During Exercise/417/Video 2025-02-21, 9 21 06 AM.mov | 27 Feb 2025/Before Exercise/417/Video 2025-02-27, 2 40 36 PM.mov | 6 March 2025/After Exercise/417/Video 2025-03-06, 7 46 03 AM.mov | 20 Feb 2025/After Exercise/417/Video 2025-02-20, 9 53 18 AM.mov | 24 Feb 2025/Before Exercise/417/Video 2025-02-24, 8 52 11 AM.mov | unhealthy cows after exercise/Sep 4/417- fresh cows .mov"
421,Unhealthy,lameness/stiffness,36,11,0,36,0,11,Yashan Dhaliwal RAC Data 2025,"7 March 2025/After Exercise/421/Video 2025-03-07, 7 25 57 AM.mov | March 24 2025/After exercise/421/Video 2025-03-24, 7 53 24 AM.mov | March 24 2025/During exercise/421/Video 2025-03-24, 7 21 47 AM.mov | 28 Feb 2025/After Exercise/421/Video 2025-02-28, 9 52 07 AM.mov | 7 March 2025/Before Exercise/421/Video 2025-03-07, 6 17 24 AM.mov | 19 Feb 2025/During Exercise/421/Video 2025-02-19, 9 32 19 AM.mov | 20 Feb 2025/Before Exercise/421/Video 2025-02-20, 8 37 01 AM.mov | 10 March 2025/After exercise/421/Video 2025-03-10, 7 20 34 AM.mov | 26 March 2025/After exercise/421/Video 2025-03-26, 8 29 55 AM.mov | 6 March 2025/After Exercise/421/Video 2025-03-06, 7 41 38 AM.mov | 20 Feb 2025/During Exercise/421/Video 2025-02-20, 9 26 43 AM.mov"
425,Unhealthy,lameness; unhealthy folder,25,10,0,25,0,10,Truro Cow Video Data,unhealthy cows after exercise/Sep 4/425.mov | unhealthy cows after exercise/Oct 29/425-lameness.mov | unhealthy cows before going out/oct 29/425-lameness.mov | unhealthy cows before going out/Nov 10/425- lameness.mov | unhealthy cows after exercise/Sep 26/425-lameness.mov | unhealthy cows after exercise/Nov 7/425-lameness.mov | unhealthy cows before going out/Sep 5/425-lameness.mov | unhealthy cows before going out/Sep 29/425-lameness.mov | unhealthy cows before going out/Nov 5/425- lameness.mov | unhealthy cows after exercise/Sep 29/425-lameness.mov
426,Healthy,healthy folder,4,4,4,0,4,0,Truro Cow Video Data,healthy cows after exercise/Nov 7/426.mov | healthy cows before going out/Nov 7/426.mov | healthy cows after exercise/Nov 10/426.mov | healthy cows before going out/Nov 10/426.mov
427,Unhealthy,lameness,6,6,0,6,0,6,Truro Cow Video Data,unhealthy cows before going out/Sep 8/427- lameness.mov | unhealthy cows after exercise/Sep 4/427- lameness.mov | unhealthy cows after exercise/Sep 8/427- lameness.mov | unhealthy cows after exercise/Sep 5/427- lameness.mov | unhealthy cows before going out/Sep 4/427-lameness.mov | unhealthy cows before going out/Sep 5/427- lameness.mov
428,Healthy,healthy folder,2,2,2,0,2,0,Truro Cow Video Data,healthy cows before going out/Nov 5/428.mov | healthy cows after exercise/Nov 5/428.mov
432,Healthy,healthy folder,6,6,6,0,6,0,Truro Cow Video Data,healthy cows after exercise/Sep 4/432.mov | healthy cows after exercise/Sep 8/432.mov | healthy cows before going out/Sep 5/432.mov | healthy cows before going out/Sep 4/432.mov | healthy cows after exercise/Sep 5/432.mov | healthy cows before going out/Sep 8/432.mov
433,Unhealthy,possible mastitis,38,10,0,38,0,10,Yashan Dhaliwal RAC Data 2025,"March 24 2025/Before exercise/433/Video 2025-03-24, 7 12 23 AM.mov | 17 March 2025/After exercise/433/Video 2025-03-17, 8 47 40 AM.mov | 27 Feb 2025/After Exercise/433/Video 2025-02-27, 3 51 28 PM.mov | 21 Feb 2025/Before Exercise/433/Video 2025-02-21, 8 45 57 AM.mov | 7 March 2025/After Exercise/433/Video 2025-03-07, 7 50 08 AM.mov | 19 Feb 2025/Before Exercise/433/Video 2025-02-19, 8 48 28 AM.mov | March 19 2025/During exercise/433/Video 2025-03-19, 7 37 49 AM.mov | 19 Feb 2025/During Exercise/433/Video 2025-02-19, 9 20 37 AM.mov | 20 Feb 2025/After Exercise/433/Video 2025-02-20, 9 48 55 AM.mov | 24 Feb 2025/After Exercise/433/Video 2025-02-24, 10 37 28 AM.mov"
436,Healthy,healthy,38,10,38,0,10,0,Yashan Dhaliwal RAC Data 2025,"27 Feb 2025/Before Exercise/436/Video 2025-02-27, 2 29 11 PM.mov | 20 Feb 2025/After Exercise/436 (1)/IMG_0548.MOV | 19 Feb 2025/Before Exercise/436/Video 2025-02-19, 8 37 16 AM.mov | 6 March 2025/During Exercise/436/Video 2025-03-06, 7 15 03 AM.mov | 24 Feb 2025/After Exercise/436/Video 2025-02-24, 10 44 42 AM.mov | 17 March 2025/After exercise/436/Video 2025-03-17, 8 53 16 AM.mov | 7 March 2025/During Exercise/436/Video 2025-03-07, 7 14 06 AM.mov | 17 March 2025/During Exercise/436/Video 2025-03-17, 8 24 39 AM.mov | 27 Feb 2025/During Exercise/436/Video 2025-02-27, 3 11 14 PM.mov | 10 March 2025/After exercise/436/Video 2025-03-10, 7 41 37 AM.mov"
438,Unhealthy,possible metritis,38,10,0,38,0,10,Yashan Dhaliwal RAC Data 2025,"20 Feb 2025/Before Exercise/438/Video 2025-02-20, 8 57 35 AM.mov | 20 Feb 2025/During Exercise/438/Video 2025-02-20, 9 16 25 AM.mov | 19 Feb 2025/During Exercise/438/Video 2025-02-19, 9 29 42 AM.mov | 6 March 2025/During Exercise/438/Video 2025-03-06, 7 01 07 AM.mov | 7 March 2025/After Exercise/438/Video 2025-03-07, 7 57 09 AM.mov | March 24 2025/Before exercise/438/Video 2025-03-24, 7 04 54 AM.mov | March 24 2025/During exercise/438/Video 2025-03-24, 7 29 33 AM.mov | 7 March 2025/Before Exercise/438/Video 2025-03-07, 6 25 22 AM.mov | 19 Feb 2025/After Exercise/438/Video 2025-02-19, 10 00 34 AM.mov | 27 Feb 2025/Before Exercise/438/Video 2025-02-27, 2 42 51 PM.mov"
439,Healthy,healthy folder,6,6,6,0,6,0,Truro Cow Video Data,healthy cows before going out/Sep 8/439.mov | healthy cows after exercise/Sep 5/439.mov | healthy cows before going out/Sep 4/439.mov | healthy cows before going out/Sep 5/439.mov | healthy cows after exercise/Sep 8/439.mov | healthy cows after exercise/Sep 4/439.mov
446,Unhealthy,fresh cows,5,5,0,5,0,5,Truro Cow Video Data,unhealthy cows after exercise/Sep 5/446- fresh cows.mov | unhealthy cows before going out/Sep 4/446- fresh cows.mov | unhealthy cows after exercise/Sep 4/446- fresh cows.mov | unhealthy cows before going out/Sep 8/446- fresh cows.mov | unhealthy cows after exercise/Sep 8/446- fresh cows.mov
