selection_rank,cow_id,cow_health_status,video_health_status,health_condition,dataset_root,relative_path,video_path,duration_sec,fps,frame_count
1,394,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 29/394-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 29\394-lameness.mov,62.540000,29.996802,1876
2,323,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 7/323-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Nov 7\323-lameness.mov,60.695000,30.002471,1821
3,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"28 Feb 2025/After Exercise/310/Video 2025-02-28, 9 59 51 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\28 Feb 2025\After Exercise\310\Video 2025-02-28, 9 59 51 AM.mov",121.160000,29.993397,3634
4,406,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/406.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 8\406.mov,48.205000,29.996888,1446
5,387,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 29/387.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 29\387.mov,60.906667,29.996716,1827
6,402,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 7/402.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 7\402.mov,61.240000,29.996734,1837
7,446,Unhealthy,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows after exercise/Sep 5/446- fresh cows.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 5\446- fresh cows.mov,51.071667,29.997063,1532
8,403,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Oct 1/403-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Oct 1\403-lameness.mov,61.473333,29.996747,1844
9,374,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 10/374.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 10\374.mov,59.973333,29.996665,1799
10,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"7 March 2025/After Exercise/421/Video 2025-03-07, 7 25 57 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\7 March 2025\After Exercise\421\Video 2025-03-07, 7 25 57 AM.mov",121.026667,30.001653,3631
11,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"March 24 2025/Before exercise/433/Video 2025-03-24, 7 12 23 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\March 24 2025\Before exercise\433\Video 2025-03-24, 7 12 23 AM.mov",123.226667,30.001623,3697
12,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"20 Feb 2025/Before Exercise/438/Video 2025-02-20, 8 57 35 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\20 Feb 2025\Before Exercise\438\Video 2025-02-20, 8 57 35 AM.mov",185.845000,29.998117,5575
13,428,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 5/428.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 5\428.mov,55.746667,29.992825,1672
14,426,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 7/426.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 7\426.mov,60.510000,29.995042,1815
15,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/417/Video 2025-03-12, 8 10 02 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\417\Video 2025-03-12, 8 10 02 AM.mov",91.028333,30.001648,2731
16,427,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 8/427- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 8\427- lameness.mov,51.171667,29.997069,1535
17,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"12 March 2025/After exercise/378/Video 2025-03-12, 8 08 18 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\12 March 2025\After exercise\378\Video 2025-03-12, 8 08 18 AM.mov",96.761667,30.001550,2903
18,425,Unhealthy,Unhealthy,unhealthy folder,Truro Cow Video Data,unhealthy cows after exercise/Sep 4/425.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 4\425.mov,64.306667,29.996890,1929
19,432,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 4/432.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 4\432.mov,66.626667,29.987993,1998
20,404,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Oct 6/404.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Oct 6\404.mov,61.640000,29.996755,1849
21,349,Unhealthy,Unhealthy,sudden fall,Cow 349 - Unhealthy (sudden fall),"Video 2025-03-28, 2 35 10 PM.mov","C:\Users\shivp\Downloads\Research\DATASET\Cow 349 - Unhealthy (sudden fall)\Video 2025-03-28, 2 35 10 PM.mov",195.688333,30.001789,5871
22,363,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 28/363-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Nov 28\363-lameness.mov,70.395000,30.002131,2112
23,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"27 Feb 2025/Before Exercise/436/Video 2025-02-27, 2 29 11 PM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\27 Feb 2025\Before Exercise\436\Video 2025-02-27, 2 29 11 PM.mov",125.391667,30.001994,3762
24,439,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/439.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 8\439.mov,54.671667,29.997256,1640
25,370,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/Before exercise/370/Video 2025-03-10, 6 25 31 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\Before exercise\370\Video 2025-03-10, 6 25 31 AM.mov",121.160000,30.001651,3635
26,415,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 5/415 - lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 5\415 - lameness.mov,56.455000,29.988486,1693
27,354,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"24 Feb 2025/During Exercise/354/Video 2025-02-24, 9 41 39 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\24 Feb 2025\During Exercise\354\Video 2025-02-24, 9 41 39 AM.mov",121.860000,30.001641,3656
28,255,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/oct 29/255-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\oct 29\255-lameness.mov,61.596667,30.001623,1848
29,405,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 8/405.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 8\405.mov,50.671667,29.997040,1520
30,355,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 8\355.mov,55.071667,29.997276,1652
31,352,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 28\352.mov,52.371667,29.997136,1571
32,408,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 4/408.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 4\408.mov,58.806667,29.996599,1764
33,394,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 26/394-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 26\394-lameness.mov,60.906667,29.996716,1827
34,323,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 7/323-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Nov 7\323-lameness.mov,60.863333,30.001643,1826
35,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"24 Feb 2025/Before Exercise/310/Video 2025-02-24, 8 58 07 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\24 Feb 2025\Before Exercise\310\Video 2025-02-24, 8 58 07 AM.mov",126.025000,30.001984,3781
36,406,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 5/406.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 5\406.mov,60.706667,29.996705,1821
37,387,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 26/387.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 26\387.mov,62.150000,29.991955,1864
38,402,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Oct 29/402.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Oct 29\402.mov,67.873333,29.997053,2036
39,446,Unhealthy,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows before going out/Sep 4/446- fresh cows.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 4\446- fresh cows.mov,61.606667,29.996754,1848
40,403,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 8/403- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 8\403- lameness.mov,53.938333,29.997219,1618
41,374,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 7/374.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 7\374.mov,64.773333,29.996912,1943
42,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"March 24 2025/After exercise/421/Video 2025-03-24, 7 53 24 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\March 24 2025\After exercise\421\Video 2025-03-24, 7 53 24 AM.mov",122.960000,30.001627,3689
43,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"17 March 2025/After exercise/433/Video 2025-03-17, 8 47 40 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\After exercise\433\Video 2025-03-17, 8 47 40 AM.mov",90.861667,30.001651,2726
44,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"20 Feb 2025/During Exercise/438/Video 2025-02-20, 9 16 25 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\20 Feb 2025\During Exercise\438\Video 2025-02-20, 9 16 25 AM.mov",130.591667,30.001914,3918
45,428,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 5/428.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 5\428.mov,62.406667,29.996795,1872
46,426,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 7/426.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 7\426.mov,63.706667,29.996861,1911
47,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"March 24 2025/After exercise/417/Video 2025-03-24, 7 58 46 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\March 24 2025\After exercise\417\Video 2025-03-24, 7 58 46 AM.mov",121.426667,30.001647,3643
48,427,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 4/427- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 4\427- lameness.mov,62.473333,29.996799,1874
49,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"7 March 2025/Before Exercise/378/Video 2025-03-07, 6 21 02 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\7 March 2025\Before Exercise\378\Video 2025-03-07, 6 21 02 AM.mov",121.960000,30.001640,3659
50,425,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Oct 29/425-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Oct 29\425-lameness.mov,60.828333,30.002466,1825
51,432,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 8/432.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 8\432.mov,56.271667,29.997334,1688
52,404,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Oct 1/404.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Oct 1\404.mov,58.406667,29.996576,1752
53,349,Unhealthy,Unhealthy,sudden fall,Cow 349 - Unhealthy (sudden fall),"Video 2025-03-28, 2 47 34 PM.mov","C:\Users\shivp\Downloads\Research\DATASET\Cow 349 - Unhealthy (sudden fall)\Video 2025-03-28, 2 47 34 PM.mov",228.223333,30.001315,6847
54,363,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 28/363-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Nov 28\363-lameness.mov,60.530000,30.001652,1816
55,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,20 Feb 2025/After Exercise/436 (1)/IMG_0548.MOV,C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\20 Feb 2025\After Exercise\436 (1)\IMG_0548.MOV,181.855000,30.001925,5456
56,439,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 5/439.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 5\439.mov,51.238333,29.997073,1537
57,370,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"27 Feb 2025/During Exercise/370/Video 2025-02-27, 3 22 44 PM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\27 Feb 2025\During Exercise\370\Video 2025-02-27, 3 22 44 PM.mov",92.161667,30.001628,2765
58,415,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 4/415 - lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 4\415 - lameness.mov,61.878333,29.994344,1856
59,354,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"March 19 2025/After exercise/354/Video 2025-03-19, 8 04 47 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\March 19 2025\After exercise\354\Video 2025-03-19, 8 04 47 AM.mov",122.560000,30.001632,3677
60,255,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/255/Video 2025-03-10, 6 58 02 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\During exercise\255\Video 2025-03-10, 6 58 02 AM.mov",93.128333,30.001611,2794
61,405,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/405.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 8\405.mov,51.905000,29.997110,1557
62,355,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 4/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 4\355.mov,58.840000,29.996601,1765
63,352,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 28\352.mov,53.671667,29.997205,1610
64,408,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 5/408.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 5\408.mov,61.973333,29.996773,1859
65,394,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 26/394-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 26\394-lameness.mov,61.473333,29.996747,1844
66,323,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 10/323- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Nov 10\323- lameness.mov,60.773333,29.996709,1823
67,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"17 March 2025/Before exercise/310/Video 2025-03-17, 7 06 35 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\Before exercise\310\Video 2025-03-17, 7 06 35 AM.mov",122.560000,30.001632,3677
68,406,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 28/406.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 28\406.mov,57.873333,29.996544,1736
69,387,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Oct 1/387.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Oct 1\387.mov,61.606667,29.996754,1848
70,402,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 10/402.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 10\402.mov,60.106667,29.996673,1803
71,446,Unhealthy,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows after exercise/Sep 4/446- fresh cows.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 4\446- fresh cows.mov,72.773333,29.997252,2183
72,403,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 5/403- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 5\403- lameness.mov,53.271667,29.997184,1598
73,374,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 7/374.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 7\374.mov,61.306667,29.996738,1839
74,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"March 24 2025/During exercise/421/Video 2025-03-24, 7 21 47 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\March 24 2025\During exercise\421\Video 2025-03-24, 7 21 47 AM.mov",95.628333,30.001569,2869
75,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"27 Feb 2025/After Exercise/433/Video 2025-02-27, 3 51 28 PM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\27 Feb 2025\After Exercise\433\Video 2025-02-27, 3 51 28 PM.mov",121.726667,30.001643,3652
76,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/During Exercise/438/Video 2025-02-19, 9 29 42 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\During Exercise\438\Video 2025-02-19, 9 29 42 AM.mov",111.393333,30.001795,3342
77,426,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 10/426.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 10\426.mov,58.523333,29.988039,1755
78,417,Unhealthy,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows after exercise/Sep 8/417- fresh cows .mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 8\417- fresh cows .mov,56.205000,29.997331,1686
79,427,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 8/427- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 8\427- lameness.mov,49.271667,29.996956,1478
80,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"20 Feb 2025/During Exercise/378/Video 2025-02-20, 9 29 50 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\20 Feb 2025\During Exercise\378\Video 2025-02-20, 9 29 50 AM.mov",148.491667,30.001684,4455
81,425,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/oct 29/425-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\oct 29\425-lameness.mov,60.763333,30.001646,1823
82,432,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 5/432.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 5\432.mov,61.356667,29.988591,1840
83,404,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 10/404.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 10\404.mov,61.440000,29.996745,1843
84,349,Unhealthy,Unhealthy,sudden fall,Cow 349 - Unhealthy (sudden fall),"Video 2025-03-28, 2 31 06 PM.mov","C:\Users\shivp\Downloads\Research\DATASET\Cow 349 - Unhealthy (sudden fall)\Video 2025-03-28, 2 31 06 PM.mov",239.551667,30.001879,7187
