selection_rank,cow_id,cow_health_status,video_health_status,health_condition,dataset_root,relative_path,video_path,duration_sec,fps,frame_count
85,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/Before Exercise/436/Video 2025-02-19, 8 37 16 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\Before Exercise\436\Video 2025-02-19, 8 37 16 AM.mov",183.056667,30.001639,5492
86,439,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 4/439.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 4\439.mov,57.371667,29.997385,1721
87,370,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"7 March 2025/After Exercise/370/Video 2025-03-07, 7 32 51 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\7 March 2025\After Exercise\370\Video 2025-03-07, 7 32 51 AM.mov",121.826667,30.001642,3655
88,415,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 8/415 - lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 8\415 - lameness.mov,50.338333,29.997020,1510
89,354,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"26 March 2025/After exercise/354/Video 2025-03-26, 8 32 59 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\26 March 2025\After exercise\354\Video 2025-03-26, 8 32 59 AM.mov",121.060000,30.001652,3632
90,255,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 10/255- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Nov 10\255- lameness.mov,63.106667,29.996831,1893
91,405,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 4/405.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 4\405.mov,62.125000,29.987928,1863
92,355,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 5/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 5\355.mov,62.223333,29.988750,1866
93,408,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 4/408.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 4\408.mov,65.206667,29.996933,1956
94,394,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 10/394-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Nov 10\394-lameness.mov,58.783333,29.991494,1763
95,323,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 28/323-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Nov 28\323-lameness.mov,59.861667,30.002506,1796
96,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"27 Feb 2025/Before Exercise/310/Video 2025-02-27, 2 45 31 PM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\27 Feb 2025\Before Exercise\310\Video 2025-02-27, 2 45 31 PM.mov",125.193333,30.001598,3756
97,406,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 4/406.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 4\406.mov,63.806667,29.996866,1914
98,387,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 29/387.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 29\387.mov,62.420000,29.990388,1872
99,402,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Oct 29/402.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Oct 29\402.mov,62.213333,29.993571,1866
100,446,Unhealthy,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows before going out/Sep 8/446- fresh cows.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 8\446- fresh cows.mov,57.738333,29.997402,1732
101,403,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 29/403-lameness .mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 29\403-lameness .mov,61.640000,29.996755,1849
102,374,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Oct 29/374.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Oct 29\374.mov,64.640000,29.996906,1939
103,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"28 Feb 2025/After Exercise/421/Video 2025-02-28, 9 52 07 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\28 Feb 2025\After Exercise\421\Video 2025-02-28, 9 52 07 AM.mov",123.393333,30.001621,3702
104,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/Before Exercise/433/Video 2025-02-21, 8 45 57 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\Before Exercise\433\Video 2025-02-21, 8 45 57 AM.mov",180.293333,30.001109,5409
105,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"6 March 2025/During Exercise/438/Video 2025-03-06, 7 01 07 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\6 March 2025\During Exercise\438\Video 2025-03-06, 7 01 07 AM.mov",122.260000,30.001636,3668
106,426,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 10/426.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 10\426.mov,61.206667,29.996732,1836
107,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"20 Feb 2025/Before Exercise/417/Video 2025-02-20, 8 47 36 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\20 Feb 2025\Before Exercise\417\Video 2025-02-20, 8 47 36 AM.mov",156.041667,29.998398,4681
108,427,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 5/427- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 5\427- lameness.mov,56.405000,29.997341,1692
109,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"6 March 2025/During Exercise/378/Video 2025-03-06, 7 10 01 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\6 March 2025\During Exercise\378\Video 2025-03-06, 7 10 01 AM.mov",121.126667,30.001651,3634
110,425,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 10/425- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Nov 10\425- lameness.mov,60.873333,29.996714,1826
111,432,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 4/432.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 4\432.mov,51.938333,29.997112,1558
112,404,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 26/404.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 26\404.mov,56.171667,29.997330,1685
113,349,Unhealthy,Unhealthy,sudden fall,Cow 349 - Unhealthy (sudden fall),"Video 2025-03-28, 2 39 08 PM.mov","C:\Users\shivp\Downloads\Research\DATASET\Cow 349 - Unhealthy (sudden fall)\Video 2025-03-28, 2 39 08 PM.mov",312.715000,30.001759,9382
114,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"6 March 2025/During Exercise/436/Video 2025-03-06, 7 15 03 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\6 March 2025\During Exercise\436\Video 2025-03-06, 7 15 03 AM.mov",122.561667,30.001224,3677
115,439,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 5/439.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 5\439.mov,61.206667,29.996732,1836
116,370,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"March 19 2025/During exercise/370/Video 2025-03-19, 7 25 11 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\March 19 2025\During exercise\370\Video 2025-03-19, 7 25 11 AM.mov",93.961667,30.001596,2819
117,415,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 5/415 - lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 5\415 - lameness.mov,55.405000,29.997293,1662
118,354,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/During Exercise/354/Video 2025-02-21, 9 23 37 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\During Exercise\354\Video 2025-02-21, 9 23 37 AM.mov",123.426667,30.001620,3703
119,255,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"6 March 2025/After Exercise/255/Video 2025-03-06, 7 36 58 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\6 March 2025\After Exercise\255\Video 2025-03-06, 7 36 58 AM.mov",121.360000,30.001648,3641
120,405,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 5/405.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 5\405.mov,57.088333,29.988614,1712
121,355,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 4/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 4\355.mov,60.390000,29.988409,1811
122,408,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 5/408.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 5\408.mov,57.271667,29.997381,1718
123,394,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 5/394-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Nov 5\394-lameness.mov,60.973333,29.996720,1829
124,323,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 5/323-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Nov 5\323-lameness.mov,57.171667,29.997376,1715
125,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/During Exercise/310/Video 2025-02-19, 9 27 32 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\During Exercise\310\Video 2025-02-19, 9 27 32 AM.mov",120.960000,30.001653,3629
126,406,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 8/406.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 8\406.mov,55.938333,29.997318,1678
127,387,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 26/387.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 26\387.mov,62.773333,29.996814,1883
128,402,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 26/402.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 26\402.mov,60.773333,29.996709,1823
129,446,Unhealthy,Unhealthy,fresh cows,Truro Cow Video Data,unhealthy cows after exercise/Sep 8/446- fresh cows.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 8\446- fresh cows.mov,61.106667,29.996727,1833
130,403,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Oct 6/403-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Oct 6\403-lameness.mov,63.806667,29.996866,1914
131,374,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 5/374.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 5\374.mov,61.573333,29.996752,1847
132,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"7 March 2025/Before Exercise/421/Video 2025-03-07, 6 17 24 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\7 March 2025\Before Exercise\421\Video 2025-03-07, 6 17 24 AM.mov",124.260000,30.001610,3728
133,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"7 March 2025/After Exercise/433/Video 2025-03-07, 7 50 08 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\7 March 2025\After Exercise\433\Video 2025-03-07, 7 50 08 AM.mov",121.693333,30.001643,3651
134,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"7 March 2025/After Exercise/438/Video 2025-03-07, 7 57 09 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\7 March 2025\After Exercise\438\Video 2025-03-07, 7 57 09 AM.mov",62.196667,30.001608,1866
135,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/During Exercise/417/Video 2025-02-21, 9 21 06 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\During Exercise\417\Video 2025-02-21, 9 21 06 AM.mov",128.191667,30.001950,3846
136,427,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 4/427-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 4\427-lameness.mov,62.073333,29.996778,1862
137,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/During exercise/378/Video 2025-03-10, 7 01 58 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\During exercise\378\Video 2025-03-10, 7 01 58 AM.mov",95.503333,29.925657,2858
138,425,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Sep 26/425-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Sep 26\425-lameness.mov,58.873333,29.996603,1766
139,432,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 5/432.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 5\432.mov,51.405000,29.997082,1542
140,404,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 28/404.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 28\404.mov,54.005000,29.997222,1620
141,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"24 Feb 2025/After Exercise/436/Video 2025-02-24, 10 44 42 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\24 Feb 2025\After Exercise\436\Video 2025-02-24, 10 44 42 AM.mov",122.126667,30.001638,3664
142,439,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 8/439.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 8\439.mov,52.138333,29.997123,1564
143,370,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"10 March 2025/After exercise/370/Video 2025-03-10, 7 43 41 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\10 March 2025\After exercise\370\Video 2025-03-10, 7 43 41 AM.mov",123.443333,29.997570,3703
144,415,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 8/415 - lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 8\415 - lameness.mov,62.073333,29.996778,1862
145,354,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"6 March 2025/Before Exercise/354/Video 2025-03-06, 6 35 48 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\6 March 2025\Before Exercise\354\Video 2025-03-06, 6 35 48 AM.mov",137.725000,29.994554,4131
146,255,Unhealthy,Unhealthy,lame,Yashan Dhaliwal RAC Data 2025,"7 March 2025/Before Exercise/255/Video 2025-03-07, 6 15 14 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\7 March 2025\Before Exercise\255\Video 2025-03-07, 6 15 14 AM.mov",122.196667,30.000818,3666
147,405,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 5/405.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 5\405.mov,61.140000,29.996729,1834
148,355,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 5/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 5\355.mov,53.771667,29.997210,1613
149,408,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/408.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 8\408.mov,51.538333,29.997090,1546
150,394,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 28/394-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Nov 28\394-lameness.mov,78.128333,30.001920,2344
151,323,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Nov 5/323- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Nov 5\323- lameness.mov,56.605000,29.997350,1698
152,310,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/After Exercise/310/Video 2025-02-19, 10 04 02 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\After Exercise\310\Video 2025-02-19, 10 04 02 AM.mov",177.823333,30.001687,5335
153,406,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 28/406.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 28\406.mov,51.838333,29.997106,1555
154,387,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Oct 6/387.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Oct 6\387.mov,64.506667,29.996900,1935
155,402,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Nov 5/402.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 5\402.mov,61.006667,29.996722,1830
156,403,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Oct 6/403-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Oct 6\403-lameness.mov,61.906667,29.996769,1857
157,374,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Nov 28/374.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 28\374.mov,59.940000,29.996663,1798
158,421,Unhealthy,Unhealthy,lameness/stiffness,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/During Exercise/421/Video 2025-02-19, 9 32 19 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\During Exercise\421\Video 2025-02-19, 9 32 19 AM.mov",86.928333,30.001726,2608
159,433,Unhealthy,Unhealthy,possible mastitis,Yashan Dhaliwal RAC Data 2025,"19 Feb 2025/Before Exercise/433/Video 2025-02-19, 8 48 28 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\19 Feb 2025\Before Exercise\433\Video 2025-02-19, 8 48 28 AM.mov",182.121667,30.001922,5464
160,438,Unhealthy,Unhealthy,possible metritis,Yashan Dhaliwal RAC Data 2025,"March 24 2025/Before exercise/438/Video 2025-03-24, 7 04 54 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\March 24 2025\Before exercise\438\Video 2025-03-24, 7 04 54 AM.mov",122.626667,30.001631,3679
161,417,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"27 Feb 2025/Before Exercise/417/Video 2025-02-27, 2 40 36 PM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\27 Feb 2025\Before Exercise\417\Video 2025-02-27, 2 40 36 PM.mov",122.226667,30.001636,3667
162,427,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows before going out/Sep 5/427- lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows before going out\Sep 5\427- lameness.mov,60.840000,29.996713,1825
163,378,Unhealthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"21 Feb 2025/After Exercise/378/Video 2025-02-21, 10 06 18 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\21 Feb 2025\After Exercise\378\Video 2025-02-21, 10 06 18 AM.mov",186.701667,29.994376,5600
164,425,Unhealthy,Unhealthy,lameness,Truro Cow Video Data,unhealthy cows after exercise/Nov 7/425-lameness.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\unhealthy cows after exercise\Nov 7\425-lameness.mov,60.863333,30.001643,1826
165,432,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Sep 8/432.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Sep 8\432.mov,52.838333,29.997161,1585
166,404,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows before going out/Oct 29/404.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Oct 29\404.mov,59.306667,29.996628,1779
167,436,Healthy,Healthy,healthy,Yashan Dhaliwal RAC Data 2025,"17 March 2025/After exercise/436/Video 2025-03-17, 8 53 16 AM.mov","C:\Users\shivp\Downloads\Research\DATASET\Yashan Dhaliwal RAC Data 2025\17 March 2025\After exercise\436\Video 2025-03-17, 8 53 16 AM.mov",95.730000,30.001045,2872
168,439,Healthy,Healthy,healthy folder,Truro Cow Video Data,healthy cows after exercise/Sep 4/439.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 4\439.mov,57.706667,29.996534,1731
